ধরে,dore,dhore,,
দুই,dui,dooi,,
করেছেন,korechen,korechhen,,
বিভিন্ন,vibhinno,bibhinno,bivinno,
গিয়ে,giye,geye,,
টি,ti,tee,,
এমন,emon,amon,,
পর্যন্ত,projonto,porjonto,,
এলাকায়,elakaye,ilakaye,elakay,
ভাল,bhalo,valo,vhalo,
ছিলেন,chhilen,chilen,,
করেছে,korechhe,koreche,,
তাঁকে,taake,take,,
তিন,tin,teen,tein,
কেউ,keuo,keo,keu,
রাজ্য,rajyo,rajjo,,
পুলিশের,poolisher,pulisher,,
তাদের,taader,tader,,
হয়নি,hoyni,hoini,hoyeni,
অবশ্য,ovoshyo,oboshyo,obossho,
র,r,ro,,
কেন,keno,kaino,,
নাম,nam,num,naam,
আবার,aavar,avar,abar,aabar
আছে,aachhe,aache,ache,
সহ,shoho,soho,shaho,
হতে,hote,,,
স্থানীয়,sthanio,sthaniyo,esthanio,
কয়েক,koek,koyek,koik,
থেকেই,thekeyi,thekei,,
হাতে,hathe,haate,hate,
সেখানে,shekhane,sekhane,,
তৃণমূলের,trinomuler,trinomooler,,
বড়,boro,bodo,,
সরকার,sarkar,sorkar,shorkar,
এখনও,ekhuno,akhonou,aikhuno,ekhunou
ফলে,fale,phole,fole,
আজ,aaj,aj,,
ব্যবস্থা,byabosta,vyavosha,bebostha,
ঠিক,theek,thik,,
দেন,den,tik,,
পড়ে,pore,pode,,
জানা,jana,jaana,,
দেওয়ার,dewar,deoar,debar,
শুধু,shudhu,shudu,sudu,
বেশ,besh,vesh,,
এলাকার,elakar,ilakar,aelakar,
যাবে,jabe,jave,,
তুলে,toole,tule,,
হাজার,hazar,hajar,,
তখন,tokon,tokhon,,
সভাপতি,shobhapoti,sovapoti,sobhapoti,
গেল,gelo,geylo,,
চলে,chole,,,
বন্ধ,bondo,bondho,bandho,
নিজের,nijer,nizer,,
যা,za,ya,ja,
দেখে,dekhe,,,
কংগ্রেস,kongres,congress,,
সূত্রে,sutre,shutre,,
কথায়,kothaye,kothay,,
সামনে,shamne,samne,,
থাকে,-,thake,,
কারণ,karon,karan,,
তারা,tara,taara,,
দল,dal,dol,,
করছেন,korechen,korchhen,,
জল,jal,jol,,
সরকারি,shorkari,sarkari,sorkari,
প্রশ্ন,proshno,prshonno,,
এসে,ese,eshe,,
দিনের,dinaer,diner,,
সমস্যা,shomosa,somossha,shomosha,
হওয়ার,hobar,howar,hoar,
মানুষ,manush,manus,,
যান,jaan,jan,zan,
চেষ্টা,chesta,cheshta,,
হাসপাতালে,haspaatale,haspatale,,
নেতা,neita,neta,,
খুব,khoob,khub,,
বাড়ি,bari,baari,,
নেওয়া,neowa,neoya,,
ফের,fer,faer,,
জানিয়েছেন,janiyechen,janiachen,janiechhen,
একই,ekie,aiki,ekoi,
দিয়েছেন,diechhen,diyeichen,diyechen,
তাতে,tatae,tate,,
থাকা,thakha,thaka,,
ঘটনা,ghotona,ghotouna,,
নানা,nana,nanaa,,
রাতে,ratae,rate,,
রাজ্যের,rajjaer,rajjer,rajjyer,
নামে,namei,namea,name,
উপর,upour,upor,,
যদি,zodi,jodi,,
করছে,koraiche,koreche,,
হিসেবে,hiseib,hisheb,hiseb,
যাচ্ছে,acche,achhe,,
এত,eto,ato,atto,
ছবি,chhobi,chovi,chobi,
ভোট,bhote,vote,,
বিজেপি,bijepi,bijeipi,bjp,
যেতে,zetoe,zeto,jeto,
বলছেন,bolechein,bolechhen,bolechen,
বছরের,bochore,bochoure,bochhore,
দেয়,deye,dey,deey,
দফতরের,dophtore,doftore,,
চলছে,choleche,coleche,,
ক্ষেত্রে,khetre,khaitre,,
চার,char,charh,,
প্রধান,prodhan,prodhaan,,
শহরের,sohore,shohore,,
যাওয়ার,jawar,zaoyar,jaoar,
গ্রেফতার,gereftar,greftar,gireftaar,
দুটি,dooti,duti,,
সময়ে,shomoye,somaye,somoye,
কলকাতা,kolkata,,,
সেটা,sheta,seta,,
সরকারের,shorkarer,sorkarer,sarkarer,
জেলার,jailar,jelar,jelaar,
সিদ্ধান্ত,siddhanto,shidhanto,sidahantto,
বাসিন্দা,bashanda,basinda,,
বলা,vola,boula,bola,
কে,ke,k,kae,
ঘটনার,ghotonar,ghotonaar,,
নির্দেশ,nirdesh,nirdaish,,
নিতে,nite,nitae,,
কম,kom,kam,,
দেশের,desher,deser,,
যখন,jokhon,zokhon,zokhun,
প্রার্থী,prarothi,prarthi,,
কেন্দ্রীয়,kendriyo,kendrio,,
মানুষের,manuser,manusher,,
দিয়েছে,diyeche,diyeichhe,,
লক্ষ,lokho,lokkho,,
হাত,haat,hat,,
নম্বর,nombour,nombor,,
মুখ্যমন্ত্রী,mukkhomontri,mukkuhyomontri,,
হলেও,holeo,holeou,,
পারেন,parein,paren,,
কর্মী,korme,kormi,,
•,dot,bindu,,
পাওয়া,paoa,paowa,,
প্রতি,prouti,proti,,
টাকার,takar,takaar,,
যেন,jeno,zeno,,
গ্রামের,gramer,graamer,,
উত্তর,uttor,,,
দেখতে,dekhte,dekte,,
বহু,boho,bohu,,
পেয়ে,pey,peye,,
সূত্রের,shutrer,sutrer,,
আগেই,ageai,aagei,,
যদিও,jodio,jodiyo,,
মুখে,muke,mukhe,,
পঞ্চায়েত,panchayet,ponchayet,,
বিষয়টি,vishioyti,bishoyti,,
বক্তব্য,boktobbo,vyoktobbo,byoktobbo,
ভারতীয়,bharotio,varotio,bharotiyo,
সংস্থার,songsthar,songosthar,shongosthor,
বাড়িতে,badite,barite,,
বিশেষ,vishesh,bishesh,,
পাঁচ,panch,pach,,
সাধারণ,shadharon,sadharon,sadhaaron,
ছাড়া,chharha,chhada,chara,
পাশাপাশি,pasapasi,pashapashi,,
এটা,aita,eta,,
সালে,sale,salae,,
হন,hon,haun,,
শুক্রবার,sukrobar,sukrubar,,
কোটি,koty,kote,koti,
রাস্তা,rashta,rasta,rastaa,
সম্পাদক,shompadok,sompadok,,
শনিবার,shonibar,shonibaar,shonivar,
রকম,rokam,rokom,,
যোগ,jog,zog,,
কংগ্রেসের,congresser,congoreser,,
বুধবার,budhbar,budhubar,vudhvar,
জানিয়েছে,janiechhe,janiayeche,janiyeche,
সোমবার,somvar,somboar,shombar,sombar
ভারত,badot,varot,barot,
রবিবার,robivar,robibar,rovivar,
ভারতের,vareter,varoter,bharoter,
মঙ্গলবার,mongalbar,mongolvar,mongolbar,
সিপিএম,cipiem,cpem,cpm,
কাজে,kaze,kajae,kaje,
রাখা,raka,rakha,rakhaa,
গোটা,gotaa,gota,,
বাইরে,baire,bayere,bairae,
যাওয়া,zaoa,zaoaa,jawa,jaoa
করেছিলেন,korechhilen,korechilen,,
যেমন,zamon,jemon,jamon,
বৃহস্পতিবার,vrihospotivar,brihospotibar,brihospotivar,
পরিবারের,poribarer,porivarer,,
বিধায়ক,bidhaek,bidhayek,,
সকালে,shokale,sokale,,
জাতীয়,jatiyo,jatio,,
মমতা,maumota,momota,mamata,
উপরে,opore,upore,,
রায়,rae,raye,rai,
বসে,boshe,bose,,
মা,ma,maa,,
গাড়ি,gari,gadi,,
তরফে,torophe,torofe,,
দফতর,doftor,dophtor,,
বলতে,boltae,bolte,,
প্রাক্তন,prakton,prakoton,,
বাবা,baba,vava,,
সিপিএমের,sipiemer,cpemer,cipiemer,
ঘটনায়,ghotonar,ghotona,ghotaunar,
কখনও,kokhono,kokhonou,,
জানিয়ে,janiye,janie,,
সদস্য,sodossho,sodoshyo,,
ছোট,choto,chhoto,,
মাস,mash,maash,mas,
বললেন,bolen,bollen,,
রাত,rat,raat,,
জায়গায়,jayegaye,jaygay,,
বিষয়ে,vishoye,bishoye,,
একটু,aiktu,ektu,aktu,
পরেই,poreyi,porei,,
ভোটের,voter,bhoter,,
কমিটির,comiteer,comitir,,
আসে,ase,ashe,,
জমি,jonee,jomi,,
মুখ,mukh,mookh,,
থানার,thanar,thanahar,,
চালু,chaloo,chalu,,
জমা,joma,zoma,,
সম্ভব,somvob,sombhob,shombhov,
আগামী,agaami,agame,agami,
পরিস্থিতি,poristhiti,poristithi,,
ঘোষণা,ghoshona,ghoshna,,
ফিরে,firae,fire,,
প্রাথমিক,prarthomik,prathomik,,
গেলে,gelye,gele,gyele,
মৃত্যু,mrittu,mrityu,mrutyu,
রাজনৈতিক,rajnitigyo,rajnoitik,rajnoitig,
পুরসভার,purosovar,purousovar,,
পুজো,pujo,poojo,,
যাতে,jate,jaate,zate,
গ্রামে,grame,gramae,,
জানানো,janaano,janano,,
বাড়ির,barir,badir,,
উদ্ধার,uddhdar,uddhar,,
পাশে,pase,pashe,,
ব্যবহার,bebohar,vyebohar,vyevohar,
ভেঙে,bhenge,venge,,
স্কুল,skul,skool,school,
নিজেদের,nijyeder,nijeder,,
কেন্দ্র,kendro,kandro,,
তথা,tothoh,totha,,
পথে,pothae,pothe,,
সংস্থা,songya,songa,,
মন্ত্রী,montri,montiri,,
মাত্র,matro,matra,,
টা,ta,taa,,
জানতে,jaante,jante,zante,
বলেছেন,bolechhen,bolychen,bolechen,
থাকবে,thakhbe,thakbe,,
শিক্ষক,shikhkhok,shikkhok,,
করলেন,korlin,korlen,,
উঠে,oothe,uthe,,
মহিলা,mohila,,,
সকাল,sokal,shokal,,
সিংহ,shinho,singho,,
রাস্তায়,rastae,rastaye,,
ধরা,dhorha,dhora,,
গ্রাম,graam,gram,,
হওয়া,hoa,howa,hoba,
প্রশাসনের,proshasener,prosasoner,proshashoner,
রেখে,rekhe,reke,,
মধ্যেই,moddhei,modheyi,,
এখানে,ekhene,ekhane,,
প্রশাসন,prosrhashon,prosason,proshashoner,
নাগাদ,naagaad,nagad,,
ভর্তি,bhorti,vorti,,
করবে,korbe,korve,,
সুযোগ,suyog,soojog,sujog,
সম্প্রতি,somproti,shomproti,,
মাঠে,maate,maathe,,
ম্যাচ,mach,machh,,
পুজোর,poojor,pujor,,
ব্যাপারে,vyapare,byapare,bepare,
দক্ষিণ,dokshin,dokkhin,,
দিলেন,dilen,dilaen,,
করবেন,korben,,,
কারণে,kaaronei,karone,,
বিধানসভা,vidhanshobha,bidhansobha,bidhansova,
রাজ্যে,rajjae,rajye,rajje,
মোদী,modi,,,
ব্লক,blok,block,,
স্কুলের,skuler,skooler,schooler,
আসা,asha,asaa,,
থাকতে,thakte,,,
ধরনের,dhoronyer,dhoroner,,
তদন্ত,todonto,tadanto,,
কর্মীদের,cormider,kormider,,
কলকাতার,kolkaatar,kolkatar,,
তাকে,takae,take,,
দ্বিতীয়,ditiyo,ditio,,
চেয়ে,seye,ceye,sheye,
নোট,note,notei,,
স্বাস্থ্য,shashto,sashtho,,
কোন,kono,konou,,
ছেলে,chele,chhele,,
কলেজ,kolej,college,,
দ্রুত,druto,,,
ছাত্র,chatro,chhatro,,
মেনে,menae,mene,,
রাখতে,rakhte,raakte,,
দায়িত্ব,dayityo,dayitto,,
এলাকা,aelakla,elaka,ilaka,
রয়েছেন,royeochhen,royechen,,
মাথায়,mathay,mathaaye,,
বিরোধী,virodhhi,virodhi,birodhi,
করল,korol,korlo,,
বলেই,bolei,boleyi,,
বন্দ্যোপাধ্যায়,bondopaddhyaye,bondopaddhay,,
যার,zar,jar,,
উঠেছে,uthechhe,utheche,,
তৈরির,torir,toirir,,
ফোন,phone,fon,,
বাকি,vaki,baki,,
কিছুটা,kichuta,kichhoota,,
গিয়েছিল,giyechilo,geyeichhilo,,
অথচ,othocho,athocho,,
নেওয়ার,neoyar,neoyear,,
অনেকেই,onekei,onekeyi,,
হোক,hoak,hok,,
দিনে,dine,dinae,,
এগিয়ে,aegiye,agie,egiye,
নেমে,neme,naime,,
শহরে,sohore,shohore,,
ই,ai,e,,
ছেড়ে,chhede,chere,,
নাকি,naaki,naki,,
পরীক্ষা,porikhsa,porikkha,,
সমিতির,somitir,shomitir,,
সুপার,supar,shupar,super,
থাকার,thakar,thakkar,,
থানায়,thanaye,thanay,thanae,
ঘরে,ghore,ghorae,,
বৈঠকে,boithoke,voithoke,,
কোথাও,kothoao,kothao,,
এসেছে,eshese,esheshe,,
জেরে,zore,jore,,
করলে,korlae,korle,,
আদালতে,adalat,odalot,,
দাস,das,daash,,
শাসক,shashok,shasok,,
বৈঠক,boithoke,voitohok,,
বাজারে,bajare,bazare,,
খরচ,khoroch,khoroc,,
মন্তব্য,montobbo,montobbyo,,
পুরনো,purano,purono,,
তথ্য,totto,tottho,,
বিক্রি,bikri,vikri,,
জনের,joner,zoner,,
হয়েছেন,hoyechen,hoeochhen,,
কাজের,kajer,kaajar,,
সমস্ত,somosto,somoshto,,
হাসপাতাল,ashpataal,haspatal,,
প্রকাশ,prokas,prokash,,
থাকায়,thakay,thakae,,
বাসিন্দাদের,vashindader,basindader,,
যায়নি,jayeni,zaeni,,
কয়েকটি,koekti,koyekti,,
ব্যাঙ্ক,bank,baink,,
করেছিল,korechilo,korechhilo,,
আপনার,apnar,apnaar,,
বাজার,bazare,bajar,,
সংখ্যা,sonkha,sonkhya,,
কর্তৃপক্ষ,kortoripokkho,kortripokkho,,
দেশে,deshe,dese,,
মতে,moate,mote,,
রাস্তার,rastar,rastaar,,
বছরে,bochore,bochhore,,
বাস,bus,baas,,
একাধিক,ekaodhik,ekadhik,,
মামলা,maamla,mamla,,
চান,snaan,chan,,
কারও,karou,karo,,
এমনকী,emonki,eimonki,,
ওঠে,othe,uthe,,
অবস্থায়,obosthay,obosthae,,
থাকলে,thakle,thakhle,,
শতাংশ,sotanksho,shotangsho,,
ঘোষ,ghosh,,,
বেরিয়ে,beriye,beriae,,
উচিত,uchit,oochit,,
বাম,baam,bam,vaam,
হওয়ায়,howae,howay,hobe,
প্রথমে,prothome,prthome,,
হাসপাতালের,haspataler,aspataler,,
রেল,bail,bel,,
যেখানে,jekhane,zekhane,,
প্রধানমন্ত্রী,prodhanmontri,pradhanmontri,,
আলোচনা,alochona,alochana,,
পক্ষে,pokkhe,pokshe,,
জেলায়,jelay,jelaar,,
বদলে,bodolae,bodole,,
নির্বাচন,nirbachon,nirvachon,,
আগের,aager,ager,,
কেন্দ্রের,kendrer,,,
পরেও,poreo,poreou,,
সালের,shaler,saler,,
আমাকে,amaake,amake,,
ব্লকের,bloker,blocker,,
আবেদন,abedon,avedon,,
দিল,diil,dil,,
জায়গা,jayegaa,jayga,,
খুন,khun,khoon,,
আশা,ashaa,asha,,
ফেলে,fele,phele,,
শেষে,sheshe,seshe,,
স্কুলে,skule,schoole,skoole,
পথ,path,poth,,
কলকাতায়,kolkatar,,,
হাজির,hajir,hazir,,
বাড়ি,badi,bari,,
তোলা,tolaa,tola,,
অন্তত,ananto,ontoto,,
ঢুকে,dhooke,dhuke,,
প্রয়োজন,proyojon,proyozon,,
হয়তো,hoito,hoyto,,
মাসে,mase,mashe,,
বিজেপির,bijepir,bjpir,,
আসেন,asen,ashen,,
ফল,phol,fol,,
জানায়,janaye,janae,,
দাঁড়িয়ে,danriye,dariye,dandiye,
কত,kouto,koto,,
অবস্থা,obostha,obyostha,,
মাধ্যমে,maddhome,maadhyome,,
কাছ,kanch,kach,,
বাসিন্দারা,basindara,vashidara,,
কোথায়,kothae,kothay,,
দরকার,dorkar,dorokaar,,
বিশ্বাস,vishaas,bisshash,,
অন্যতম,onnotomo,onyotmmo,,
পুরসভা,puroushoba,puroshova,,
পড়েছে,poreose,porese,,
খারাপ,kharap,kharab,,
দিয়েছিলেন,dieichhilen,diyechilen,,
স্ত্রী,ishtri,istri,stri,
চলেছে,cholese,cholechhe,,
অনেকে,oneke,aneke,,
যাঁরা,zara,jaara,,
সংগঠনের,shongothoner,songothoner,,
চা,cha,,,
আলাদা,alada,alaada,alahda,
দাম,daam,dam,,
পৌঁছে,pousoe,pouse,,
ভাবেই,vabei,bhabei,,
সাহায্য,sahajjo,shahaajjo,,
গান,gaan,gan,,
দলীয়,doliio,doliyo,,
শহর,shohor,sohor,,
থাকেন,thaken,thakain,,
গিয়েছেন,geyechhen,giyechen,giechen,
আসার,asar,ashar,,
চাই,chai,chayi,,
স্পষ্ট,sposhto,esposhto,,
তেমন,temon,taimon,,
ভোটে,bhota,vota,,
দায়ের,daanyer,dayer,,
সারা,shara,sara,,
কর্মীরা,kormira,kormeera,,
হত,hata,hoto,,
অংশ,onksho,ongsho,,
পঞ্চায়েতের,ponchaet,ponchayet,,
পূর্ব,purvo,purbo,,
আসলে,asole,ashole,,
আটকে,aatke,atke,,
মারা,mora,,,
বলেও,voleu,boleo,boleou,
পিছনে,peichhone,pichone,,
মণ্ডল,moshul,mosul,,
ঘণ্টা,ghounta,ghonta,,
খুনের,khuner,khooner,,
দলে,dole,dolae,,
যুবক,jubok,juvok,zubok,
মিলিয়ে,miliiye,miliye,,
দিক,deek,dik,,
আর্থিক,aarthik,arthik,,
খতিয়ে,kotiye,khotiye,,
শুনে,sune,shune,,
কমিটি,komiti,kametee,comiti,
দেহ,deho,dehoe,,
সম্পর্কে,somporko,shomporko,,
লোক,lok,log,,
মেয়ে,meye,mei,,
পাঠানো,patano,pathano,,
ঘুরে,ghoore,ghure,,
ব্যাঙ্কের,banker,bankaer,,
করি,kori,kore,,
কর্তা,karta,korta,,
পরিষেবা,porisheowa,porisheba,,
থাকলেও,thakhleo,thakleo,,
মোট,motei,mote,,
পরিকল্পনা,porikolpna,porikolpona,,
উন্নয়ন,unnoyon,onoyon,,
মূল,mul,mool,,
রাখার,rakhaar,rakhar,,
সাড়ে,sare,share,,
মেডিক্যাল,medikaal,medical,,
অনুযায়ী,onuzai,onuyayi,,
নিয়ম,niyom,niom,,
একাংশ,ekangsho,ekankgsho,,
বিশ্ববিদ্যালয়ের,viswovidhyaloyer,bisshobiddaloy,,
বেসরকারি,besarkari,besorkari,beshorkari,
কলেজের,colejer,kolejer,,
সবচেয়ে,sobeche,sobcheye,,
ওর,aor,or,,
জুড়ে,jude,jure,,
পা,paa,pa,,
বাংলা,bangala,bangla,,
অনুষ্ঠানে,onushthane,onusthane,,
পরের,porer,,,
খোঁজ,khojh,khoj,,
ভুল,vul,bhool,vool,
আগুন,agun,agoon,,
আপনি,aapni,apni,,
গড়ে,goreo,gore,,
আসতে,ashte,aste,,
প্রকল্পের,prokolper,prkolper,,
পারেননি,parenni,pareannie,,
নন,non,,,
যোগাযোগ,jogajog,jogayog,,
দিল্লি,dilli,dillii,delhi,
দুপুরে,dupure,dufure,,
খেলা,khaila,khela,,
দেশ,des,desh,,
নেতাদের,netaader,netader,,
স্বাভাবিক,shavabik,shobhabik,shovavik,
ঘিরে,ghire,,,
সাংসদ,songsod,songshod,,
গিয়েছিলেন,giyechilen,geyechhilen,,
হামলা,homla,hamla,,
জন্যই,jonnoi,jonnooi,,
অভিযুক্ত,ovijukto,obhijyukto,,
সাত,saat,shat,sat,
সবাই,sobai,shobai,,
আশঙ্কা,ashonka,ashongka,,
নিয়েই,niyeii,niyei,,
জলের,jaler,joler,,
অতিরিক্ত,otirikto,atirikta,,
পরিবার,poribaar,poribar,porivaar,
প্রচার,prchaar,prochar,,
পান,pan,paan,,
আসছে,ashche,asche,,
গুলি,guli,goli,,
কেটে,ketee,kete,,
এল,ailo,elo,,
পাল্টা,palta,paalta,,
তিনটি,teentii,tinti,,
শিক্ষা,shiksha,shikkha,,
দিচ্ছে,diccihe,dicche,,
লেখা,lekha,leka,,
ওরা,orra,ora,,
বিয়ে,biye,viye,,
দেবে,deve,debe,,
ক্রিকেট,kriket,cricket,,
নরেন্দ্র,norendro,noroindro,,
আইন,aain,aien,,
আদালত,adalat,adalot,,
অনুষ্ঠান,onusthan,onushthan,,
শেখ,sheskh,sheikh,,
মাঝে,majhe,majhae,,
দীর্ঘ,dirgho,dirgiho,,
নেতারা,netaera,netara,,
যত,joto,zoto,,
বলছে,bolese,boleche,,
কাল,kal,kaal,,
অভিযোগে,obhijoge,obhiyoge,ovijog,
আপাতত,apatoto,apatate,,
চেয়ারম্যান,cheyarman,chairman,,
বুঝতে,bujhte,vujte,,
প্রকল্প,prokolpo,prakalpa,,
মার্কিন,markin,markeen,,
চিঠি,chithi,chithhi,chiti,
ভিড়,vir,bheed,,
মহকুমা,mohkuma,mohokma,,
বিদ্যুৎ,bidyut,biddut,vidyut,
পড়তে,podte,porte,,
পারেনি,pareni,parenei,,
ইতিমধ্যেই,itimodhyei,itimoddhei,,
রিপোর্ট,riport,report,,
গেলেন,gelain,gelen,,
জোর,jor,zor,,
করব,kobor,korob,,
উপস্থিত,uposthit,uposhthit,,
পেতে,pete,petye,,
পশ্চিম,poshchim,poschim,,
মুখ্যমন্ত্রীর,mukhyomontrir,mukkhomontrir,,
পাওয়ার,power,pawer,,
ধরেই,dhorei,dharei,,
হারিয়ে,haarie,hariye,,
গুরুত্বপূর্ণ,guruttopurno,gurutobpurno,,
সভা,sova,sobha,,
আধিকারিক,odhikar,odhikarik,,
সংগঠন,songhoton,shongothon,,
ম্যাচে,myache,match,,
দুটো,duto,dooto,,
ভাগ,vag,bhaag,,
কোচ,coach,koch,,
বরং,borom,borong,,
জোট,joat,jot,,
করেই,koreyi,korei,,
ওদের,oder,odair,,
মারধর,maardhour,mardhor,,
কর্তারা,kortara,kartara,,
মেদিনীপুর,midnapore,mednipur,modinipur,
টিম,teem,team,,
নজর,nojor,nozor,,
কিছুই,kichui,kichoui,,
দোকান,dokan,dokaan,,
নিরাপত্তা,nirapot,nirapotta,,
অর্থ,ortho,artho,,
পরিষদের,porishoder,porishader,,
মুখোপাধ্যায়,mukhopaddhay,mukhyopadhaye,,
পুরো,pooro,puro,,
চোখে,chokhhe,chokhe,,
দেখার,daikhar,dekhar,,
চক্রবর্তী,chakrovorti,chokroborti,,
নির্দিষ্ট,neerdishto,nirdishto,,
রান,run,raan,,
সরাসরি,shorshori,sorasori,,
একজন,akjon,ekjon,,
আয়োজন,ayojona,ayojon,,
জরুরি,joruri,zoruri,,
প্রস্তাব,prostav,prostab,,
জনকে,jonke,janke,,
পারবেন,parben,parbaen,,
বিক্ষোভ,bikkihov,bikkhov,,
জবাব,jobab,jowab,,
নেতৃত্ব,netrutovo,netritto,,
কতটা,kotota,kautota,,
নিয়েও,niyeo,niyeio,,
পড়ে,podeo,pore,,
দিচ্ছেন,dichhein,dicchen,,
স্বামী,shami,swami,,
মৃত্যুর,mrittur,mrityur,,
পদক্ষেপ,podokkhep,podokshep,,
ভট্টাচার্য,bhottacharjo,vottacharjo,bhattachrya,
দিনই,dineii,dinei,,
ঘর,ghor,,,
নিন,neen,nin,,
চিকিৎসক,chiketsak,chikitsak,,
ভয়,voy,bhoi,bhoye,
দূরে,dure,dore,doore,
কিলোমিটার,kilometer,kilometar,,
বাধ্য,baddho,badhyo,,
মিছিল,michila,michil,,
ট্রেন,tren,train,,
অফিসার,officer,aphisar,ophisaar,
চাপ,chap,chaap,,
করুন,koroon,korun,,
একে,eke,ake,,
লাগে,laage,lage,,
পরিচিত,parichit,porichito,,
দিয়েছিল,diyesilo,diechilo,diyechilo,
লড়াই,lorai,lodai,,
জানালেন,janaalen,janalen,,
খান,khan,khaah,,
কিংবা,kimba,kingba,,
নিয়েছে,niyeche,niechhe,,
প্রমাণ,proman,promaan,,
মাসের,maser,masher,,
ফুটবল,football,futvall,phutball,
বড়,boro,bodo,,
নেন,neen,nen,,
প্রচুর,prochur,prochoor,,
সমস্যার,somosyar,somossar,,
মাথা,matha,,,
হুমকি,humki,hoomki,,
বাংলাদেশ,Bangaladesh,Bangladesh,,
আশ্বাস,asshash,ashwash,,
নিয়েছেন,niyechen,niechen,,
কার্যত,karyoto,karjoto,,
দশ,dosh,dos,,
ক্ষোভ,khoba,khov,,
বারবার,barbar,barbaar,,
সেরা,shera,sera,,
লাগোয়া,lagoa,lagowa,lagoya,
চালিয়ে,chalie,chaliye,,
ঘটেছে,ghotheche,ghotese,,
সত্ত্বেও,sotteo,shotteo,,
আনা,ana,aana,,
পুলিশকে,pulishke,pooliske,,
জঙ্গি,jongi,jongoi,,
দেব,dev,deb,,
বিষয়,bishoy,bishoi,vishoye,
সভায়,sobhaye,sovay,,
ছাড়াও,sarao,sharaou,,
শোনা,sona,shona,,
করছি,korchhi,korchi,,
সম্পর্ক,samparko,somporko,,
বিভাগের,bivager,vibhager,,
বারের,barer,varer,,
লোকজন,logjon,lokjon,,
চলবে,cholhbe,cholbe,,
হলেন,holen,holain,,
নিয়মিত,niyomito,nioimit,,
দেবেন,debain,deben,,
রাহুল,rahul,,,
ভারতে,varote,bharote,,
পরিবেশ,poribesh,porivesh,,
পুর,pooro,pur,,
রাজি,razi,raji,,
পাক,pak,paak,,
খুশি,khushi,khooshi,,
ঘরের,ghorer,ghaurer,,
কর্তৃপক্ষের,kottripokkher,korttipoksher,kortapokher,
বাধা,vaadha,badha,,
জানাচ্ছেন,janaachhen,janacchen,,
করেছি,koresi,korechi,,
সেখান,shekhan,sekhan,,
আদালতের,odaloter,adalater,,
হিসাবে,hishebe,hishabe,,
বাড়িতে,badite,barite,,
